Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long,catu,grav,sexe,an_nais,trajet,secu1,secu2,secu3,num_veh_y,senc,obs,obsm,choc,manv,motor,catr,voie,v1,v2,circ,nbv,vosp,prof,plan,surf,infra,situ,vma,age
201900001041,17,2,2019,0 days 12:48:00,1,76,76024,1,1,6,2,route de dieppe,"49,7503050","1,2846030",1,3,1,1986.0,5,2,-1,-1,A01,1,0,2,1,2,5,3,915,,,2,2,0,1,1,1,0,1,80,adult
201900001131,13,2,2019,0 days 14:00:00,1,974,97409,2,9,1,2,DE LA GARE(RUE)," -20,9625800","55,6580400",1,1,1,1962.0,4,1,8,-1,A01,3,0,2,1,2,6,4,DE LA GARE(RUE),0.0,,2,1,0,1,1,1,0,1,50,child
201900001131,13,2,2019,0 days 14:00:00,1,974,97409,2,9,1,2,DE LA GARE(RUE)," -20,9625800","55,6580400",1,4,1,2001.0,0,8,0,-1,A01,3,0,2,1,2,6,4,DE LA GARE(RUE),0.0,,2,1,0,1,1,1,0,1,50,adult
201900001156,12,2,2019,0 days 16:40:00,1,83,83069,1,9,1,3,SALINS ( ROUTE DES VIEUX),"43,1244700","6,1887500",1,3,1,1943.0,5,8,0,-1,A01,2,0,2,1,19,5,4,SALINS ( ROUTE DES VIEUX),0.0,,3,2,2,2,1,1,0,1,50,child
201900001156,12,2,2019,0 days 16:40:00,1,83,83069,1,9,1,3,SALINS ( ROUTE DES VIEUX),"43,1244700","6,1887500",1,1,1,1964.0,5,2,8,-1,A01,2,0,2,1,19,5,4,SALINS ( ROUTE DES VIEUX),0.0,,3,2,2,2,1,1,0,1,50,adult
201900001190,23,5,2019,0 days 08:30:00,1,59,59400,2,1,1,3,6 rue thiers,"50,6436200","2,6401080",1,3,1,1938.0,5,0,-1,-1,A01,2,0,2,8,1,5,3,946,0.0,D,2,2,0,1,1,1,0,1,50,child
201900001190,23,5,2019,0 days 08:30:00,1,59,59400,2,1,1,3,6 rue thiers,"50,6436200","2,6401080",1,1,1,1985.0,1,8,-1,-1,A01,2,0,2,8,1,5,3,946,0.0,D,2,2,0,1,1,1,0,1,50,adult
201900001402,14,8,2019,0 days 18:43:00,1,31,31555,2,1,1,3,AV JEAN ZAY,"43,6488900","1,4330900",1,3,1,1939.0,5,2,0,-1,B01,0,0,2,8,1,5,4,,0.0,,2,2,0,1,1,1,0,1,50,child
201900001402,14,8,2019,0 days 18:43:00,1,31,31555,2,1,1,3,AV JEAN ZAY,"43,6488900","1,4330900",1,1,1,1985.0,5,1,7,-1,B01,0,0,2,8,1,5,4,,0.0,,2,2,0,1,1,1,0,1,50,adult
201900001402,14,8,2019,0 days 18:43:00,1,31,31555,2,1,1,3,AV JEAN ZAY,"43,6488900","1,4330900",2,1,2,1989.0,5,1,8,-1,B01,0,0,2,8,1,5,4,,0.0,,2,2,0,1,1,1,0,1,50,adult
201900001426,31,5,2019,0 days 12:40:00,1,92,92063,2,1,1,3,SUE (RUE EUGENE),"48,8765700","2,2012400",1,1,2,1963.0,5,1,8,-1,A01,2,0,2,8,19,5,4,SUE (RUE EUGENE),0.0,,2,2,0,1,1,1,0,1,50,child
201900001426,31,5,2019,0 days 12:40:00,1,92,92063,2,1,1,3,SUE (RUE EUGENE),"48,8765700","2,2012400",1,4,1,2006.0,5,8,8,-1,A01,2,0,2,8,19,5,4,SUE (RUE EUGENE),0.0,,2,2,0,1,1,1,0,1,50,adult
